[2026-01-09 15:17:56,271 ] 19 root - INFO - Starting data ingestion
[2026-01-09 15:18:16,784 ] 63 root - INFO - Performed train test split on the dataframe
[2026-01-09 15:18:16,784 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-09 15:18:16,785 ] 73 root - INFO - Exporting train and test file path.
[2026-01-09 15:18:16,968 ] 82 root - INFO - Exported train and test file path.
[2026-01-09 15:18:16,969 ] 21 root - INFO - Data ingestion completed
[2026-01-09 15:18:17,014 ] 26 root - INFO - Starting data validation
[2026-01-09 15:18:17,206 ] 32 root - INFO - Required number of columns:2
[2026-01-09 15:18:17,207 ] 33 root - INFO - Data frame has columns:31
[2026-01-09 15:18:17,208 ] 32 root - INFO - Required number of columns:2
[2026-01-09 15:18:17,208 ] 33 root - INFO - Data frame has columns:31
[2026-01-09 15:18:17,572 ] 28 root - INFO - Data validation completed
[2026-01-09 15:18:17,573 ] 33 root - INFO - Starting data transformation
[2026-01-09 15:18:17,573 ] 64 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[2026-01-09 15:18:17,573 ] 66 root - INFO - Starting data transformation
[2026-01-09 15:18:17,668 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-01-09 15:18:17,668 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-09 15:18:17,697 ] 51 root - INFO - Entered the save_object method of mainutils class
[2026-01-09 15:18:17,705 ] 56 root - INFO - Exited the save_object method of mainutils class
[2026-01-09 15:18:17,708 ] 35 root - INFO - Data transformation completed
[2026-01-09 15:18:17,709 ] 38 root - INFO - Model Training sstared
